Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
404;900;38;;;;;
405;900;55;;;;;
406;1100;61;;;;;
407;1500;54;;;;;
408;1100;45;;;;;
409;800;36;;;;;
410;2500;113;;;;;
411;1600;77;;;;;
412;800;42;;;;;
413;800;42;;;;;
414;3200;101;;;;;
415;1100;49;;;;;
416;1000;49;;;;;
417;800;44;;;;;
418;1200;55;;;;;
419;900;45;;;;;
420;1300;62;;;;;
421;1000;57;;;;;
422;700;44;;;;;
423;600;44;;;;;
424;2300;47;;;;;
425;1000;47;;;;;
426;1100;45;;;;;
427;1200;59;;;;;
428;1800;90;;;;;
429;1600;74;;;;;
430;800;48;;;;;
431;1100;49;;;;;
432;700;38;;;;;
433;600;42;;;;;
434;1300;72;;;;;
435;2800;73;;;;;
436;600;34;;;;;
437;1000;55;;;;;
438;700;40;;;;;
439;1800;85;;;;;
440;1400;85;;;;;
441;1400;78;;;;;
442;700;42;;;;;
443;800;36;;;;;
444;1000;51;;;;;
445;1900;92;;;;;
446;900;49;;;;;
447;900;43;;;;;
448;2300;59;;;;;
449;800;44;;;;;
450;800;40;;;;;
451;700;52;;;;;
452;1200;51;;;;;
453;700;38;;;;;
454;1100;54;;;;;
455;1100;67;;;;;
456;1500;73;;;;;
457;2000;105;;;;;
458;900;51;;;;;
459;1600;67;;;;;
460;900;54;;;;;
461;2100;66;;;;;
462;1500;60;;;;;
463;1700;69;;;;;
464;800;49;;;;;
465;1100;51;;;;;
466;1200;49;;;;;
467;1700;76;;;;;
468;1200;60;;;;;
469;800;34;;;;;
470;1200;55;;;;;
471;1000;57;;;;;
472;800;42;;;;;
473;1000;57;;;;;
474;1200;55;;;;;
475;1500;56;;;;;
476;800;38;;;;;
477;1800;73;;;;;
478;1000;51;;;;;
479;800;51;;;;;
480;1800;75;;;;;
481;1100;65;;;;;
482;1100;47;;;;;
483;1200;62;;;;;
484;1100;38;;;;;
485;800;48;;;;;
486;1100;51;;;;;
487;1000;57;;;;;
488;1100;60;;;;;
